"""time""","""serial""","number_of_people"
2019-08-01 04:00:00,"000000006b44cce7",49
2019-08-01 04:00:00,"0000000074f765a7",0
2019-08-01 04:00:00,"000000007b5207b6",5
2019-08-01 04:00:00,"0000000096918cfa",0
2019-08-01 04:00:00,"00000000a53ed894",5
2019-08-01 04:00:00,"00000000aa852af1",12
2019-08-01 04:00:00,"00000000afef4555",7
2019-08-01 04:00:00,"00000000b33a8357",0
2019-08-01 04:00:00,"00000000cd16b8ef",0
2019-08-01 04:00:00,"00000000d747f075",0
2019-08-01 04:00:00,"00000000e8a064a4",0
2019-08-01 04:00:00,"00000000f1124bca",1
2019-08-01 04:00:00,"00000000fb7600be",22
2019-08-01 04:00:00,"00000000fdda10fe",18
2019-08-01 04:00:00,"00000000fffb8cf0",2
2019-08-01 05:00:00,"0000000006dd41f6",9
2019-08-01 05:00:00,"000000000f4919c9",4
2019-08-01 05:00:00,"0000000019fb59c4",16
2019-08-01 05:00:00,"00000000342570c2",11
2019-08-01 05:00:00,"0000000038bf9618",10
2019-08-01 05:00:00,"0000000038d83d41",19
2019-08-01 05:00:00,"000000004ef3150d",59
2019-08-01 05:00:00,"0000000053c6c2be",8
2019-08-01 05:00:00,"00000000675d5200",13
2019-08-01 05:00:00,"000000006b087f40",16
2019-08-01 05:00:00,"000000006b44cce7",67
2019-08-01 05:00:00,"0000000074f765a7",0
2019-08-01 05:00:00,"000000007b5207b6",10
2019-08-01 05:00:00,"0000000096918cfa",0
2019-08-01 05:00:00,"00000000a53ed894",8
2019-08-01 05:00:00,"00000000aa852af1",24
2019-08-01 05:00:00,"00000000afef4555",14
2019-08-01 05:00:00,"00000000b33a8357",0
2019-08-01 05:00:00,"00000000cd16b8ef",0
2019-08-01 05:00:00,"00000000d747f075",2
2019-08-01 05:00:00,"00000000e8a064a4",1
2019-08-01 05:00:00,"00000000f1124bca",2
2019-08-01 05:00:00,"00000000fb7600be",54
2019-08-01 05:00:00,"00000000fdda10fe",25
2019-08-01 05:00:00,"00000000fffb8cf0",3
2019-08-01 06:00:00,"0000000006dd41f6",11
2019-08-01 06:00:00,"000000000f4919c9",9
2019-08-01 06:00:00,"0000000019fb59c4",18
2019-08-01 06:00:00,"00000000342570c2",16
2019-08-01 06:00:00,"0000000038bf9618",14
2019-08-01 06:00:00,"0000000038d83d41",17
2019-08-01 06:00:00,"000000004ef3150d",85
2019-08-01 06:00:00,"0000000053c6c2be",26
2019-08-01 06:00:00,"00000000675d5200",26
2019-08-01 06:00:00,"000000006b087f40",16
2019-08-01 06:00:00,"000000006b44cce7",99
2019-08-01 06:00:00,"0000000074f765a7",0
2019-08-01 06:00:00,"000000007b5207b6",19
2019-08-01 06:00:00,"0000000096918cfa",4
